state,ffl_count
Texas,10904
California,10005
Florida,7340
Pennsylvania,6126
North Carolina,4536
Illinois,4268
Ohio,4173
Virginia,3891
Massachusetts,3830
Missouri,3829
Michigan,3697
New York,3634
Arizona,3563
Georgia,3556
Washington,3154
Tennessee,3150
Colorado,2954
Wisconsin,2762
Maryland,2716
Indiana,2650
Minnesota,2281
South Carolina,2220
Kentucky,2120
Oklahoma,2073
Alabama,2050
Oregon,2024
Iowa,1959
Arkansas,1822
Louisiana,1776
Kansas,1694
Utah,1688
Connecticut,1677
Idaho,1659
Montana,1463
Mississippi,1367
West Virginia,1313
Nevada,1295
New Hampshire,1161
Nebraska,1061
New Mexico,971
Wyoming,912
Maine,869
South Dakota,794
Alaska,741
North Dakota,682
Rhode Island,540
Vermont,516
New Jersey,513
Delaware,299
Hawaii,220
